,date,Population Staying at Home,Population Not Staying at Home,Week,Month,business_id,avg_star,review_count,user_id,review_id,stars,text,name_x,postal_code_x,attributes,categories,sentiment,chicken,beef,tofu,miso,hot pot,mapo tofu,highly recommend,ly recommend,not recommend,good service,nice service,service is good,bad service,name_y,postal_code_y,block,sentiment_score,sentiment_score_vader,price_sentiment
627,2019-01-29,409821.0,1174243.0,4,1,zU5PPd9j4bYC_MepNSEDcA,4.0,451,GWOf1oB2mTalRY_A-EjSiQ,jBgy3X0lcbbmDAzTi_vxRg,2.0,"(2.5 stars) Pretty disappointing dinner experience. Maybe the full dim sum route is the way to go, but I went with full meal, the kung pao chicken, and it was underwhelming. It's not very much chicken, it's pretty oily, and most of the dish is spices or peppers that's supposed to make the plate spicy but fails to do so. They also don't have brown rice, so the dish had to be enjoyed with white rice, which does nothing for it. Not worth the the $14 price tag. 

The truffle edamame dumplings were cute, but at the end of the day, tasted pretty much like mashed potatoes. Not bad but didn't live up to the hype of their name. The dan dan noodles were also super oily, couldn't see myself having a lot of it. Probably wouldn't return unless for happy hour.",Dim Sum House,19104,"{'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'True', 'RestaurantsDelivery': 'True', 'BikeParking': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'Caters': 'True', 'CoatCheck': 'True', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'OutdoorSeating': 'False', 'Smoking': ""u'no'"", 'GoodForKids': 'True', 'GoodForDancing': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'RestaurantsTableService': 'True', 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'DogsAllowed': 'False'}","Restaurants, Chinese, Nightlife, Dim Sum, Event Planning & Services, Bars, Cantonese, Venues & Event Spaces",0.16598484848484846,1,0,0,0,0,0,0,0,0,0,0,0,0,Dim Sum House,19104,West,0.16598484848484846,0.9853,0.16598484848484846
628,2019-01-29,409821.0,1174243.0,4,1,ytynqOUb3hjKeJfRj5Tshw,4.5,5721,bFBsPlBfgLBAm3fokveqog,lPTonXHTeUhsjrBIeNFJZQ,5.0,"I come here often, especially for the Beilers Donuts! They're made fresh daily, have endless amounts of flavor, and will leave you wanting to come back.

Pro tip - buy a 6 or more and they'll cost $1 per donut! That's less than Dunkin for much higher quality.",Reading Terminal Market,19107,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'Corkage': 'False', 'BikeParking': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'Alcohol': ""'beer_and_wine'"", 'NoiseLevel': ""u'loud'"", 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'BYOBCorkage': ""'yes_free'"", 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': True, 'lot': True, 'valet': False}"", 'Ambience': ""{'touristy': True, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'Caters': 'False', 'WiFi': ""u'no'"", 'HasTV': 'True', 'OutdoorSeating': 'None', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'ByAppointmentOnly': 'False'}","Candy Stores, Shopping, Department Stores, Fast Food, Beer, Wine & Spirits, Fruits & Veggies, Chinese, Food, Ice Cream & Frozen Yogurt, Desserts, Seafood, Health Markets, Bagels, Cheese Shops, Shopping Centers, Chocolatiers & Shops, Meat Shops, Public Markets, Food Court, Wineries, Local Flavor, Ethnic Food, Restaurants, Specialty Food, Arts & Entertainment, Juice Bars & Smoothies, Seafood Markets, Farmers Market, Coffee & Tea, Bakeries, Food Stands, Dinner Theater, Sporting Goods, Grocery, Fashion",0.11041666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,Reading Terminal Market,19107,Center,0.11041666666666668,0.3987,0.11041666666666668
633,2019-01-29,409821.0,1174243.0,4,1,NABcZKRWQF9-rDVt0P0bhw,3.0,215,NTuR2rhdAqHzcnY-mRb1gA,T53M6ggJNGAy_2c_ytwTBA,5.0,"Dimsum outings with friends in my opinion is one of the best things you can do. Ocean City did not disappoint with fresh food and service where the servers will actually bring you tea when the pot is open.   As a Chinese American, I truly appreciated the dimsum carts and the bustling noises of the crowd waiting to be served their favorite dimsum delicacy.  

We ordered it all.  Chicken feet, spare ribs with black beans sauce, Chinese broccoli, shumai, rice flour crepes with shrimp, clams, crispy shrimp, jelly fish, congee, buns, and so much more.  The only dish I would say wasn't up to par was the jelly fish. Just bland and no seasoning at all. I am used to jelly fish being served with some pickled daikon or some flavor.  Overpriced and not worth getting.  

If you want to come for a true dimsum experience, this is the place to come, but don't expect any frills.  This is a no frills dim sum restaurant.",Ocean City,19107,"{'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsBitcoin': 'False', 'Caters': 'True', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': None, 'brunch': True, 'breakfast': False}"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'DogsAllowed': 'False', 'RestaurantsDelivery': 'True', 'HappyHour': 'False', 'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""u'average'"", 'BikeParking': 'True'}","Chinese, Restaurants, Seafood, Dim Sum",0.10980392156862745,1,0,0,0,0,0,0,0,0,0,0,0,0,Ocean City,19107,Center,0.10980392156862745,0.7364,0.10980392156862745
637,2019-01-30,408850.0,1175214.0,4,1,-1B9pP_CrRBJYPICE5WbRA,4.0,822,CmR9s-2zH20UkmUt5Qwqnw,1lKrFYV1H8UnsS0rY9lj8Q,4.0,"Fusiony Asian food with a mix of Thai(but with some other fusion things) and Szechuan primarily (actually two chefs here); quality is not amazing, but overall, have had some good meals, especially from the Szechuan side. Lunch specials are a very good deal with a decent mix of items. For best foods, I'll focus mostly on the dinner menu, as I have a solid portion of the menu. Service is fine, if not incredible, and prices are quite good. Haven't tried individual entrees enough to say what my favorite meats are with each style

Favorite Things:

Appetizers: Indian Pancake ($5), Mini Wonton in Chili Oil ($6), Peking Duck Crepe ($9), Blue Crab Fajita ($9), Ahi Tuna Dumpling ($11), Spicy Cucumber (cold-$6)

Soups: Tom Yum ($5)

Salad: Duck Salad ($9), Shrimp Mango ($9), Blue Crab Avocado ($10)

Noodles:  Pad Thai ($11V/$12C/$14B/$14S), Drunken Noodles ($11V/$12C/$14B/$14S), and Dan Dan Noodles ($7-appetizer size)

Asian Entrees (not Szechuan): Mango Style ($13T/$14C/$16S), Green Curry Style (favorite of Thai dishes here-$12V/$14C/$16B/$16S), Pan Seared Pepper Tuna ($23), and Chilean Seabass ($25)

Szechuan Entrees: Double Cook Style ($13P/$17F), Cumin Style (favorite of Szechuan entrees-$16B/$19L), Dry Pot Style ($13C/$16B/$17S/$17F/$19L), Dry Pepper Style ($13C/$16B/$17S/$17F)

Vegetables: Mapo Tofu ($11-entree size)

Fried RIce: Thai Basil and Pineapple (for both: $10V/$11C/$13S)",Spice 28,19107,"{'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'HappyHour': 'True', 'GoodForKids': 'True', 'DogsAllowed': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Asian Fusion, Restaurants, American (New), Thai, Szechuan, Chinese",0.18517857142857141,0,0,1,0,0,1,0,0,0,0,0,0,0,Spice 28,19107,Center,0.18517857142857141,0.9834,0.18517857142857141
638,2019-01-30,408850.0,1175214.0,4,1,ytynqOUb3hjKeJfRj5Tshw,4.5,5721,68ee6LRCqdLyazQ_VEKbUQ,P_0aNIY2ovyIiMK8vRo8fw,1.0,"Too crowded. Dirty. Meh vendors (tried four of them.. Terminis was the best of the lot) Everything is ridculously overpriced. Two burgers, two drinks.. $33. Only to take the greasy, mediocre burgers to filthy tables you have to wlak in circles to find empty. Pass.",Reading Terminal Market,19107,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'Corkage': 'False', 'BikeParking': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'Alcohol': ""'beer_and_wine'"", 'NoiseLevel': ""u'loud'"", 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'BYOBCorkage': ""'yes_free'"", 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': True, 'lot': True, 'valet': False}"", 'Ambience': ""{'touristy': True, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'Caters': 'False', 'WiFi': ""u'no'"", 'HasTV': 'True', 'OutdoorSeating': 'None', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'ByAppointmentOnly': 'False'}","Candy Stores, Shopping, Department Stores, Fast Food, Beer, Wine & Spirits, Fruits & Veggies, Chinese, Food, Ice Cream & Frozen Yogurt, Desserts, Seafood, Health Markets, Bagels, Cheese Shops, Shopping Centers, Chocolatiers & Shops, Meat Shops, Public Markets, Food Court, Wineries, Local Flavor, Ethnic Food, Restaurants, Specialty Food, Arts & Entertainment, Juice Bars & Smoothies, Seafood Markets, Farmers Market, Coffee & Tea, Bakeries, Food Stands, Dinner Theater, Sporting Goods, Grocery, Fashion",-0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,Reading Terminal Market,19107,Center,-0.16666666666666666,0.0516,-0.16666666666666666
641,2019-01-30,408850.0,1175214.0,4,1,NEZOlUKoQWUotatzRp-r5A,4.0,169,WuiEYopWZOWOuWQD87fVSw,Ulf5RNw5-4MBdFHWdbBIMw,4.0,"Fresh meat, seafood, mushrooms, and veggies for your Mongolian hot pot experience! You order by broth and items to create your own individualized meal and cook at your own pace. If you are coming in large groups, I would recommend the platters because you get to try a bit of everything! Expect to pay about $25 per head if you want to eat enough to get full. This is comparable to the AYCE cost at Nine Ting but you are paying for quality!",Happy Lamb Hot Pot,19107,"{'WheelchairAccessible': 'True', 'Alcohol': ""u'none'"", 'RestaurantsTableService': 'True', 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'False', 'Caters': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'False', 'BusinessAcceptsBitcoin': 'False', 'GoodForKids': 'True', 'Ambience': ""{'touristy': None, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': True, 'upscale': False, 'classy': None, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'HappyHour': 'False', 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'DogsAllowed': 'False'}","Mongolian, Restaurants, Chinese, Hot Pot",0.3596938775510204,0,0,0,0,1,0,0,0,0,0,0,0,0,Happy Lamb Hot Pot,19107,Center,0.3596938775510204,0.5826,0.3596938775510204
644,2019-01-30,408850.0,1175214.0,4,1,PVVFos1LDfD7iETY0w4vaA,4.0,417,qzvKlDLs2eE9OtHlN_yWpA,4ivsFez5dVxTi0QzZxbtzA,4.0,"Reasonable prices with no delivery minimum! I order the general tso tofu. The menu said ""hot and spicy"" so I was expecting a strong flavor but it wasn't spicy at all, but not glad either. I think I would have preferred more heat but next time I order I'll just add a note for extra spicy. Overall 4/5",Su Xing House,19102,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'Corkage': 'False', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'Caters': 'False', 'BYOBCorkage': ""'yes_free'"", 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'quiet'"", 'HasTV': 'False', 'BikeParking': 'False', 'Alcohol': ""'none'"", 'WiFi': ""u'no'"", 'HappyHour': 'False', 'OutdoorSeating': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Kosher, Chinese, Restaurants, Vegetarian, Vegan",0.13703703703703704,0,0,1,0,0,0,0,0,0,0,0,0,0,Su Xing House,19102,Center,0.13703703703703704,-0.4272,0.13703703703703704
646,2019-01-30,408850.0,1175214.0,4,1,ErJ9NtMXt-WJZV_TVZ08Ag,3.5,77,XMWL8ko22ZARLTDiuVXypg,4qPV9trYKMGgy1F3pNm3eQ,5.0,"Food is really great! I come here all the time on my lunch break. The service is good, the dishes are fresh and hot. Not to mention the prices are right for the dish size you receive. A nice little place to get Chinese/ Japanese food.",Green Garden,19107,"{'WiFi': ""'no'"", 'RestaurantsDelivery': 'True', 'NoiseLevel': ""u'quiet'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForKids': 'True', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""u'casual'"", 'HasTV': 'True', 'ByAppointmentOnly': 'False', 'BikeParking': 'True', 'RestaurantsReservations': 'True'}","Sushi Bars, Chinese, Soup, Seafood, Restaurants",0.3685267857142857,0,0,0,0,0,0,0,0,0,0,0,1,0,Green Garden,19107,Center,0.3685267857142857,0.9133,0.3685267857142857
647,2019-01-31,418067.0,1165997.0,4,1,iksVwRfpWymIUUFqw0tXpw,4.5,1128,0vnF9En8gZfjipND_pzF4w,_sSZqmbPIHORmnZmBLWUpQ,2.0,"FYI: Put your name down on the iPad by the front door to be added to their waiting list! Also, the iPad above the table is just another menu, in case y'all are wondering.

PROS: You come for essentially 2 things: the novelty of the whole idea of ""conveyor belt hot pot"" and the wagyu beef. Literally that's it. Granted the beef is probably one of the better hot pot meat I've had in all my years of eating hot pot. It's pretty soft and melts in your mouth. Tastes better if you dip it into their house made yuzu sauce thing (which by the way was the star of the meal). The convenience of the whole thing is pretty great: you see an item you want on the belt and you take it. Our waiter was also an absolute gem. So nice and really attentive. The whole thing is definitely a fun thing to do maybe like...once.

CONS: Where do I even begin. For starters, they don't got a sauce bar. The waiter will come around with this big tray of sauces and you take from that. Then they take it away. So basically, you either leave that thing on your table and have it take up literally 75% of the space on your table or you let the waiter take it back and are sauceless halfway through your meal if you don't make enough. We also ordered some pork belly with our wagyu and that thing came in the most pathetic little slices. Like so small and so thin that you can't taste nothing after you put it in your pot. To be honest, I lost half of them in there. They also don't tell you what items are gonna be on the conveyor belt. When we went, we basically saw the same couple of items being offered on it (mainly fish balls and veggies with a few spams, tofus, and eggs). You can still order items from the menu but it'd be helpful to have some kind of like ""conveyor belt"" list of items or something to let you know what'll be on it so you can plan out what you order a la carte. Let me also just say that even when you order a la carte, the portion sizes vary from too much (they gave us a whole butt load of quail eggs) to LITERALLY NOTHING. Don't judge me but I actually counted how many strands of potato noodles we got cause it looked really empty in the bowl. THERE WAS ONLY LIKE 12 STRANDS! 12 STRANDS! EXCUSE ME???And lord have mercy...THE PRICE. IT AINT WORTH IT PEOPLE. It's really not. My husband and I ate less than what we usually eat at Little Sheep and had to pay MORE. Besides the wagyu beef, everything else didn't taste any different from another hot pot place in Chinatown so essentially, you're paying more to eat the same food but a lesser portion. Their stock was also...mildly flavored at best. Like dawg...if all you really have to offer me is one choice of good meat and a conveyor belt with like the same 8 items circulating around it, you better not be charging me those ridiculous prices.",Chubby Cattle,19107,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'HappyHour': 'False', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'True', 'RestaurantsTableService': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'WheelchairAccessible': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'Alcohol': ""u'beer_and_wine'""}","Restaurants, Bars, Seafood, Japanese, Hot Pot, Nightlife, Chinese, Conveyor Belt Sushi, Mongolian, Asian Fusion",0.14449233716475096,0,1,1,0,1,0,0,0,0,0,0,0,0,Chubby Cattle,19107,Center,0.14449233716475096,0.9908,0.14449233716475096
648,2019-01-31,418067.0,1165997.0,4,1,POuaebsAeCyNx-8qZ3O7XQ,4.0,332,C8YOser4MCSfRREiCMviWw,c3w0oBIgAu9EXd7KMwb_zg,3.0,"I think it's the adorable sign that brings in the customers. Pretty small but cozy restaurant. We never have to wait but there's a strict no outside food or drink policy. The rest room is one and gender neutral. Always have to wait to wash your hands and it's usually dirty. 
But the restaurant has some good food. I come here for the soup dumplings and scallion pancakes. I love scallion pancakes! The dumplings are fine. Nothing to die for but tasty. They are a bit too doughy for my liking. My friend said they were too oily. But they come at a good price and you still leave with a warm feeling in your tummy.",Shang Hai 1,19107,"{'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTableService': 'True', 'NoiseLevel': ""'average'"", 'RestaurantsTakeOut': 'True', 'WiFi': ""u'no'"", 'ByAppointmentOnly': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'DogsAllowed': 'False', 'OutdoorSeating': 'None', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BYOB': 'True', 'HappyHour': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'True'}","Taiwanese, Chinese, Shanghainese, Restaurants",0.24924242424242424,0,0,0,0,0,0,0,0,0,0,0,0,0,Shang Hai 1,19107,Center,0.24924242424242424,0.9809,0.24924242424242424
667,2019-02-01,408143.0,1175921.0,4,2,zUJMvjK6aBeQtVCowZ85-w,3.5,62,Z8w7PYkvY4Qf9z_PPcOEAg,-wYU1niiIWSpV7W-W3FWSA,4.0,Clean!!! An affordable with plenty of options One of Few places I would recommend to family and friends.,Panasian Buffet,19124,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'GoodForKids': 'True', 'Caters': 'False', 'OutdoorSeating': 'False', 'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'none'"", 'RestaurantsDelivery': 'None', 'RestaurantsTableService': 'True', 'HappyHour': 'False', 'DogsAllowed': 'False', 'RestaurantsReservations': 'True', 'Ambience': ""{u'divey': None, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': None, u'classy': True, u'upscale': False}"", 'GoodForMeal': ""{u'breakfast': None, u'brunch': True, u'lunch': True, u'dinner': True, u'latenight': None, u'dessert': None}""}","Pan Asian, Japanese, Buffets, Restaurants, American (Traditional), Chinese, Seafood",0.25807291666666676,0,0,0,0,0,0,0,0,0,0,0,0,0,Panasian Buffet,19124,East,0.25807291666666676,0.8472,0.25807291666666676
668,2019-02-01,408143.0,1175921.0,4,2,_7V_3b2dSSVIXqVMJwGmoQ,3.0,57,Qj3D2t1AeMIDGPbQtazguw,cW2aW9Ybs8dxGRzLY_avFA,5.0,"I don't know why there is a guy giving his food the finger in the main photo for this place. I'll have to go and get some of my own photos because this place is awesome. That guy doesn't know what he's talking about. This is one of the best hole in the wall Chinese food places that I have ever been to.

I ordered their food after moving. Boy, was I hungry! We ordered three orders of General Tsao's chicken. They each came with an egg roll and soup. The food was great! Also, it was reasonably priced and came very quickly - like 20 minutes!

My next time ordering from there I was having a bad day and was trying to cheer myself up. I ordered the same thing but I forgot to specify what kind of soup I wanted. When it arrived, I realized. I called to let them know and they told me I could just tell them this happened the next time I order and they will give me an extra soup. That's so nice! I never took them up on the offer but I appreciate that.

I love this place. Thanks for serving up great food at great prices.",Golden Cuisine,19123,"{'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsBitcoin': 'False', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'GoodForKids': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'none'"", 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'WiFi': ""u'free'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsPriceRange2': '1'}","Chinese, Restaurants",0.32896825396825397,1,0,0,0,0,0,0,0,0,0,0,0,0,Golden Cuisine,19123,North,0.32896825396825397,0.9922,0.32896825396825397
678,2019-02-02,428703.0,1155361.0,4,2,iksVwRfpWymIUUFqw0tXpw,4.5,1128,rIidD0YlxV0aJOa2kpCb2w,rf9EULMcjuiGFHYkY_x2fw,5.0,"First time having hot pot and I'm glad I chose chubby cattle. I came in with my girlfriend who was struggling to open the door. But that's when Brandon our server opened the door for us and greeted me with a hug. He immediately sat us down and was very professional, giving us chubby cattle's history and his recommendations. He was really down to earth and I felt really welcomed. The food was also spectacular and I had a really unique experience with the conveyer belt hot pot. A little pricey but definitely worth it. Will definitely come back. Brandon is the best.",Chubby Cattle,19107,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'HappyHour': 'False', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'True', 'RestaurantsTableService': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'WheelchairAccessible': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'Alcohol': ""u'beer_and_wine'""}","Restaurants, Bars, Seafood, Japanese, Hot Pot, Nightlife, Chinese, Conveyor Belt Sushi, Mongolian, Asian Fusion",0.20977430555555554,0,0,0,0,1,0,0,0,0,0,0,0,0,Chubby Cattle,19107,Center,0.20977430555555554,0.9825,0.20977430555555554
